StoreName,Locationnumber,State,BUCode,last_30d_recharge,active_days_30d,prev_30d_recharge,last_7d_recharge,days_since_last_recharge,churn_30d
Nextgen NewRanip AOR,20725,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Nextgen Nikol AOR,20837,Gujrat,171,-169.52,1,0.0,-169.52,0,0
Nextgen Palanpur AOR,20844,Gujrat,171,-339.04,1,0.0,-339.04,0,0
Nextgen ParvatPatiya AOR,20741,Gujrat,171,-211.9,1,0.0,-211.9,0,0
Nextgen Patan AOR,20738,Gujrat,171,-211.9,1,0.0,-211.9,0,0
Nextgen Rakhiyal,22920,Gujrat,171,-84.76,1,0.0,-84.76,0,0
Nextgen Sanand,22913,Gujrat,171,-84.76,1,0.0,-84.76,0,0
Nextgen Sciencecity,11493,Gujrat,171,-169.52,1,0.0,-169.52,0,0
Nextgen Shela,22856,Gujrat,171,-42.38,1,0.0,-42.38,0,0
Nextgen Subhanpura AOR,20836,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Nextgen Surendranagar AOR,20743,Gujrat,171,-339.04,1,0.0,-339.04,0,0
Nextgen TNTC Nikol,22906,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Nextgen Thaltej,22919,Gujrat,171,-84.76,1,0.0,-84.76,0,0
Nextgen VIP Road AOR,20745,Gujrat,171,-211.9,1,0.0,-211.9,0,0
Nextgen Vastral AOR,20838,Gujrat,171,-84.76,1,0.0,-84.76,0,0
Nextgen Visnagar,22900,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Nextgen YogiChowk AOR,20742,Gujrat,171,-2500.04,1,0.0,-2500.04,0,0
Nigdi OR,21213,Maharashtra,17327,-42.38,1,0.0,-42.38,0,0
Nippani_OR,20817,Karnataka,153,-678.08,1,0.0,-678.08,0,0
Nizambad AOR,20710,Telangana,15136,-296.66,1,0.0,-296.66,0,0
Nizambad ngs2 AOR,22794,Telangana,15136,-84.76,1,0.0,-84.76,0,0
Nizampet OR,20547,Telangana,15136,-720.46,1,0.0,-720.46,0,0
Noida Sec-63  UP,280,UP,11109,-381.42,1,0.0,-381.42,0,0
Noida Sector 137,736,UP,11109,-932.36,1,0.0,-932.36,0,0
Noida Sector-120,343,UP,11109,-635.7,1,0.0,-635.7,0,0
Noida Sector-126,348,UP,11109,0.0,1,0.0,0.0,0,1
Noida-Sector-12  Noida,397,UP,11109,-1695.2,1,0.0,-1695.2,0,0
Nonachandanpukur AOR,21122,West Bengal,135,-84.76,1,0.0,-84.76,0,0
North Tel Services JK,21505,JK,114,-254.28000000000003,1,0.0,-254.28000000000003,0,0
North West Traders HP,21510,HP,11202,-42.38,1,0.0,-42.38,0,0
Nungambakkam  Chennai,35,Tamil Nadu,155,-720.46,1,0.0,-720.46,0,0
